sample-id	Target	Harvest_ID	Block_row_column	Sp_speed	Stress	Speed	Block	Rows	Columns	root_weight	Nucleic_Acid_ngul	Plate_name	Plate_postion	Plate_row	Plate_column	GQ_submission_order	sample_type	greenhouse_compartment	greenhouse_table	Sp_full_name	Sp_abb_name	Sp_Tribe	Sp_Lineage_Walden	Sp_Family	Sp_Guest	Roots	Shoot_.DryWeight	Rainbow	Broken	Flowering	soil_moisture	Missing	Notes_1	Notes_2	Rainbow.batch	barcode	Amplicon_concentation_ngul
138_16S	16S	138	10.4.4	F1	SA	Fast	10	4	4	0.8140625	191.4	F1_F2	B6	B	6	42	rhizoplane	2.1	9_10	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 1st batch	VAL12505774-B06	27.4
139_16S	16S	139	11.2.6	F1	SA	Fast	11	2	6	0.4040625	106.8	F1_F2	C6	C	6	43	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.939	0	0	0	normal	0				VAL12505774-C06	26.9
140_16S	16S	140	12.2.9	F1	SA	Fast	12	2	9	0.6440625	106.4	F1_F2	D6	D	6	44	rhizoplane	2.1	11_12	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.86	0	0	0	normal	0				VAL12505774-D06	27.7
141_16S	16S	141	13.3.2	F1	SA	Fast	13	3	2	0.3240625	62.5	F1_F2	E6	E	6	45	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.835	0	0	0	normal	0				VAL12505774-E06	28.6
142_16S	16S	142	14.4.14	F1	SA	Fast	14	4	14	0.5640625	80.3	F1_F2	F6	F	6	46	rhizoplane	2.1	13_14	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1		1	0	0	normal	0			PPH 17-21_June	VAL12505774-F06	28.8
143_16S	16S	143	15.5.8	F1	SA	Fast	15	5	8	0.8340625	116.6	F1_F2	G6	G	6	47	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.83	0	0	0	normal	0				VAL12505774-G06	27.7
144_16S	16S	144	16.4.1	F1	SA	Fast	16	4	1	0.7240625	90.9	F1_F2	H6	H	6	48	rhizoplane	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no	1	0.804	0	0	0	normal	0				VAL12505774-H06	25.9
Blank_F1_16S	16S	Blank_F1	Blank	F1	Blank	Fast	Blank	Blank	Blank	Blank	7.8	F1_F2	A7	A	7	49	Blank	2.1	15_16	Brassica_oleraceae_Rivera_Fast	Bo_F	Brassiceae	lineage_II	Brassicaceae	no											VAL12505774-A07	9.6
241_16S	16S	241	1.2.8	F2	Control	Fast	1	2	8	5.17	47.9	F1_F2	B7	B	7	50	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.723	0	0	0	normal	0	Root with nodules			VAL12505774-B07	27.4
242_16S	16S	242	2.4.11	F2	Control	Fast	2	4	11	3.94	68	F1_F2	C7	C	7	51	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.903	0	0	0	normal	0	Root with nodules			VAL12505774-C07	28.1
243_16S	16S	243	3.6.12	F2	Control	Fast	3	6	12	8.05	57.2	F1_F2	D7	D	7	52	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.97	0	0	0	normal	0	Root with nodules			VAL12505774-D07	26.9
244_16S	16S	244	4.4.9	F2	Control	Fast	4	4	9	3.62	66.7	F1_F2	E7	E	7	53	rhizoplane	2.12	3_4	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.564	0	0	0	normal	0	Root with nodules			VAL12505774-E07	31.2
245_16S	16S	245	5.2.5	F2	Control	Fast	5	2	5	5.71	73.2	F1_F2	F7	F	7	54	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.691	0	0	0	normal	0	Root with nodules			VAL12505774-F07	28.4
246_16S	16S	246	6.3.7	F2	Control	Fast	6	3	7	6.92	77	F1_F2	G7	G	7	55	rhizoplane	2.12	5_6	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.197	0	0	0	normal	0	Root with nodules			VAL12505774-G07	29
247_16S	16S	247	7.3.4	F2	Control	Fast	7	3	4	2.7	86.2	F1_F2	H7	H	7	56	rhizoplane	2.12	7_8	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505774-H07	25.3
249_16S	16S	249	9.6.10	F2	Control	Fast	9	6	10	3.12	70.4	F1_F2	A8	A	8	57	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505774-A08	28.4
250_16S	16S	250	10.2.1	F2	Control	Fast	10	2	1	3.07	72.4	F1_F2	B8	B	8	58	rhizoplane	2.1	9_10	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.964	0	0	0	normal	0	Root with nodules			VAL12505774-B08	28.1
251_16S	16S	251	11.3.15	F2	Control	Fast	11	3	15	6.01	75.3	F1_F2	C8	C	8	59	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.918	0	0	0	normal	0	Root with nodules			VAL12505774-C08	26.3
252_16S	16S	252	12.5.3	F2	Control	Fast	12	5	3	3.17	70.4	F1_F2	D8	D	8	60	rhizoplane	2.1	11_12	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	1.103	0	0	0	normal	0	Root with nodules			VAL12505774-D08	26.8
253_16S	16S	253	13.5.16	F2	Control	Fast	13	5	16	6.37	71.2	F1_F2	E8	E	8	61	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.89	0	0	0	normal	0	Root with nodules			VAL12505774-E08	20.5
254_16S	16S	254	14.1.14	F2	Control	Fast	14	1	14	4.11	59.5	F1_F2	F8	F	8	62	rhizoplane	2.1	13_14	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505774-F08	28.4
255_16S	16S	255	15.2.13	F2	Control	Fast	15	2	13	3.78	38.6	F1_F2	G8	G	8	63	rhizoplane	2.1	15_16	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1		1	0	0	normal	0	Root with nodules		PPH 1st batch	VAL12505774-G08	26.2
257_16S	16S	257	1.2.5	F2	MeJA	Fast	1	2	5	4.65	2.3	F1_F2	H8	H	8	64	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.891	0	0	0	normal	0	Root with nodules			VAL12505774-H08	24.3
258_16S	16S	258	2.5.15	F2	MeJA	Fast	2	5	15	3.42	74.2	F1_F2	A9	A	9	65	rhizoplane	2.12	1_2	Pisum_sativum	Ps	Fabeae	Fabaceae	Fabaceae	yes	1	0.485	0	0	0	normal	0	Root with nodules			VAL12505774-A09	27.1
