LABELS
SEPARATOR TAB
DATA
bASV_7	Pseudomonas-7
bASV_48	Bradyrhizobium-48
bASV_641	Bradyrhizobium-641
bASV_814	Bradyrhizobium-814
bASV_50	bASV-50
bASV_298	bASV-298
bASV_226	bASV-226
bASV_339	uncultured-339
bASV_1001	Pseudolabrys-1001
bASV_526	uncultured-526
bASV_1156	uncultured-1156
bASV_19	Caulobacter-19
bASV_310	Asticcacaulis-310
bASV_115	Brevundimonas-115
bASV_141	Brevundimonas-141
bASV_73	Phenylobacterium-73
bASV_103	Phenylobacterium-103
bASV_4479	Phenylobacterium-4479
bASV_439	uncultured-439
bASV_271	Reyranella-271
bASV_451	Dongia-451
bASV_481	uncultured-481
bASV_964	BIrii41-964
bASV_1134	Pajaroellobacter-1134
bASV_1469	Pajaroellobacter-1469
bASV_223	bASV-223
bASV_229	uncultured-229
bASV_120	Gemmatimonas-120
bASV_279	Gemmatimonas-279
bASV_613	Gemmatimonas-613
bASV_185	uncultured-185
bASV_740	uncultured-740
bASV_1223	uncultured-1223
bASV_520	Gemmatimonas-520
bASV_1442	possible_genus_04-1442
bASV_622	Subgroup_7-622
bASV_1269	Subgroup_7-1269
bASV_209	Chthoniobacter-209
bASV_2847	Candidatus_Udaeobacter-2847
bASV_1094	Luteolibacter-1094
bASV_3567	Luteolibacter-3567
bASV_198	WD2101_soil_group-198
bASV_674	WD2101_soil_group-674
bASV_601	WD2101_soil_group-601
bASV_465	WD2101_soil_group-465
bASV_240	WD2101_soil_group-240
bASV_1265	WD2101_soil_group-1265
bASV_1312	CPla-3_termite_group-1312
bASV_767	Lacunisphaera-767
bASV_2824	uncultured-2824
bASV_856	uncultured-856
bASV_2220	uncultured-2220
bASV_171	RB41-171
bASV_648	RB41-648
bASV_234	bASV-234
bASV_254	bASV-254
bASV_299	JGI_0001001-H03-299
bASV_294	bASV-294
bASV_2237	Peredibacter-2237
bASV_168	bASV-168
bASV_292	Bacillus-292
bASV_1511	Bacillus-1511
bASV_491	bASV-491
bASV_138	Bryobacter-138
bASV_391	Bryobacter-391
bASV_12	Streptomyces-12
bASV_41	Streptomyces-41
bASV_52	Streptomyces-52
bASV_82	Streptomyces-82
bASV_932	Streptomyces-932
bASV_55	Streptomyces-55
bASV_1846	Rhodococcus-1846
bASV_458	Nocardioides-458
bASV_2045	Nocardioides-2045
bASV_3223	Nocardioides-3223
bASV_43	bASV-43
bASV_215	Phycicoccus-215
bASV_121	Amycolatopsis-121
bASV_1177	Acidothermus-1177
bASV_480	Actinocorallia-480
bASV_527	IMCC26256-527
bASV_840	uncultured-840
bASV_726	IMCC26256-726
bASV_735	Fimbriimonadaceae-735
bASV_1034	Saccharimonadales-1034
bASV_1627	Saccharimonadales-1627
bASV_9	Niastella-9
bASV_23	Niastella-23
bASV_448	Niastella-448
bASV_39	Niastella-39
bASV_108	Niastella-108
bASV_429	Niastella-429
bASV_793	Niastella-793
bASV_123	Niastella-123
bASV_102	Niastella-102
bASV_242	Niastella-242
bASV_486	Niastella-486
bASV_109	Niastella-109
bASV_169	Niastella-169
bASV_354	Niastella-354
bASV_812	Pseudoflavitalea-812
bASV_1098	Edaphobaculum-1098
bASV_1635	uncultured-1635
bASV_87	uncultured-87
bASV_564	Chitinophaga-564
bASV_628	Chitinophaga-628
bASV_154	Fluviicola-154
bASV_358	Arcticibacter-358
bASV_553	Arcticibacter-553
bASV_64	Chryseolinea-64
bASV_203	Chryseolinea-203
bASV_443	uncultured-443
bASV_270	Steroidobacter-270
bASV_433	Steroidobacter-433
bASV_597	Acidibacter-597
